Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
"Tour por la Catedral, el Alcázar y la Giralda",1775828588-15,Civitatis,16/01/2025,No especificado,No especificado,Viajó en pareja,"Una actividad 100% recomendable. Nuestro guía Emilio un crack, contándonos historia, arte, relacionando lo antiguo con su uso en moderno, siempre con curiosidades. Muy interesante todo! A pesar de ser una actividad larga, es muy amena por tanta información de lo que vamos viendo!",No especificado,No especificado,No aplica
"Tour por la Catedral, el Alcázar y la Giralda",1775828580-9,Civitatis,1/5/2025,No especificado,No especificado,Viajó en pareja,"Nuestro guia fue Carlos. Un gran profesional y sobre todo destacaría la pasión con la que cuenta la historia. Esto hace que puedas comprender e incluso aprender, pero sobre todo hace la visita entretenida. Por otro lado, el hecho de hacer un receso para comer permite que una visita tan larga resulte mucho más descansada. Y por otro lado, tanto la catedral como el Alcázar nos encantaron. Enhorabuena por la orfanuzacion también",No especificado,No especificado,No aplica
Barrio Triana,1776038724-18,Civitatis,20/02/2026,No especificado,No especificado,Viajó solo,"Fue como me gustan,mezcla de historia,cultura y consejos para poder alternar en la ciudad.Aunque fueron 2 horas,me pareció corto,y gracias a Pilar pude conocer buenos bares para tapear a buen precio.Un 10",España,Residente,Comunidad de Madrid
Barrio Santa Cruz,1776039096-13,Civitatis,14/06/2025,No especificado,No especificado,Viajó solo,"La guía hizo que el recorrido fuese muy interesante y ameno, contando un montón de curiosidades. Es un barrio muy curioso y que merece la pena recorrer.",España,Residente,No especificado
Real Alcázar de Sevilla,1776038166-9,Civitatis,8/12/2025,No especificado,No especificado,Viajó en pareja,Laura nos explicó muy bien la historia del Alcázar. La verdad que nos encantó la explicación. Lo entusiasta que es. Fue genial,España,Residente,Cataluña
Catedral de Sevilla,1776037861-8,Civitatis,15/01/2026,No especificado,No especificado,Viajó en pareja,"La actividad fue de poco tiempo y mal explicada. En la catedral entramos, había mucho ruido, nos enseñó altar mayor, tumba Cristóbal Colón, y dos capillas. Cristina no se entregó nada porque soltaba la retahíla aprendida y a mi al menos no me llegó. Ni siquiera nos enseñó o nos dijo dónde estaba la Sacristía, cuando bajamos de la Giralda, entramos de nuevo en la Catedral y descubrimos Sacristía y tesoros, más intentamos repasar las capillas que nos dió tiempo, pero claro ya sin explicaciones.",España,Residente,Andalucía
Archivo de Indias,1776038425-16,Civitatis,15/01/2026,No especificado,No especificado,Viajó en pareja,"No es una actividad turística simple y al uso. Soy de Sevilla y me ha permitido conocer mejor lo que me rodea, historia y cultura. Muy bien explicado. Ameno y profesional.",España,Residente,Andalucía
Free tour por Sevilla,1775828875-15,Civitatis,4/3/2026,No especificado,No especificado,Viajó con amigos,Muy agradable y amena,España,Residente,Aragón
Barrio Triana,1776038707-12,Civitatis,17/03/2026,No especificado,No especificado,Viajó con hijos mayores,La guía muy fue excelente,España,Residente,Principado de Asturias
Barrio Santa Cruz,1776039083-14,Civitatis,27/07/2025,No especificado,No especificado,Viajó con hijos mayores,"Hugo, nuestro guía, ha sido muy amable y profesional. Ha contextualitzado perfectamente todo su relato, haciéndolo animado y aclarando todas nuestras dudas.",España,Residente,Cataluña
